frame,frame,x,y,area,contours,particle,box_cx,box_cy,box_angle,box_length,box_width,box_area,box_pts,single,user_rad
0,0,155,113,83.0,"[[[159 102]]

 [[158 103]]

 [[157 104]]

 [[157 105]]

 [[157 106]]

 [[156 107]]

 [[156 108]]

 [[156 109]]

 [[155 110]]

 [[155 111]]

 [[154 112]]

 [[154 113]]

 [[153 114]]

 [[152 115]]

 [[152 116]]

 [[152 117]]

 [[152 118]]

 [[151 119]]

 [[151 120]]

 [[151 121]]

 [[151 122]]

 [[152 123]]

 [[153 123]]

 [[154 123]]

 [[155 123]]

 [[155 122]]

 [[155 121]]

 [[156 120]]

 [[156 119]]

 [[156 118]]

 [[156 117]]

 [[157 116]]

 [[157 115]]

 [[157 114]]

 [[157 113]]

 [[158 112]]

 [[159 111]]

 [[159 110]]

 [[159 109]]

 [[160 108]]

 [[160 107]]

 [[161 106]]

 [[161 105]]

 [[161 104]]

 [[161 103]]

 [[160 102]]]",10,155.25,111.75,19.44003677368164,22.465356826782227,5.4915313720703125,123.36921179902856,"[[149 122]
 [156 100]
 [162 102]
 [154 123]]",True,6
0,0,33,129,78.0,"[[[ 30 121]]

 [[ 29 122]]

 [[ 28 123]]

 [[ 28 124]]

 [[ 29 125]]

 [[ 30 126]]

 [[ 30 127]]

 [[ 31 128]]

 [[ 31 129]]

 [[ 32 130]]

 [[ 32 131]]

 [[ 33 132]]

 [[ 33 133]]

 [[ 34 134]]

 [[ 34 135]]

 [[ 35 136]]

 [[ 35 137]]

 [[ 36 138]]

 [[ 37 138]]

 [[ 38 137]]

 [[ 39 136]]

 [[ 39 135]]

 [[ 39 134]]

 [[ 38 133]]

 [[ 38 132]]

 [[ 37 131]]

 [[ 37 130]]

 [[ 36 129]]

 [[ 36 128]]

 [[ 35 127]]

 [[ 35 126]]

 [[ 35 125]]

 [[ 34 124]]

 [[ 33 123]]

 [[ 32 122]]

 [[ 31 121]]]",11,33.5,128.5,61.69924545288086,18.28670883178711,5.689198017120361,104.03670762546062,"[[ 27 122]
 [ 32 119]
 [ 40 135]
 [ 35 138]]",True,6
0,0,39,146,66.0,"[[[ 44 142]]

 [[ 43 143]]

 [[ 42 143]]

 [[ 41 144]]

 [[ 40 144]]

 [[ 39 144]]

 [[ 38 144]]

 [[ 37 145]]

 [[ 36 145]]

 [[ 35 146]]

 [[ 34 146]]

 [[ 33 146]]

 [[ 32 147]]

 [[ 32 148]]

 [[ 32 149]]

 [[ 32 150]]

 [[ 33 151]]

 [[ 34 151]]

 [[ 35 151]]

 [[ 36 151]]

 [[ 37 150]]

 [[ 38 149]]

 [[ 39 149]]

 [[ 40 148]]

 [[ 41 147]]

 [[ 42 147]]

 [[ 43 146]]

 [[ 44 146]]

 [[ 45 146]]

 [[ 46 145]]

 [[ 47 145]]

 [[ 48 144]]

 [[ 48 143]]

 [[ 47 142]]

 [[ 46 142]]

 [[ 45 142]]]",12,39.25,145.75,68.19859313964844,17.45536231994629,5.756555557250977,100.48276296671611,"[[ 30 146]
 [ 46 140]
 [ 49 145]
 [ 32 152]]",True,6
0,0,195,150,81.5,"[[[187 146]]

 [[186 147]]

 [[186 148]]

 [[187 149]]

 [[188 150]]

 [[189 151]]

 [[190 151]]

 [[191 152]]

 [[192 152]]

 [[193 153]]

 [[194 153]]

 [[195 154]]

 [[196 154]]

 [[197 155]]

 [[198 155]]

 [[199 155]]

 [[200 155]]

 [[201 155]]

 [[202 155]]

 [[203 155]]

 [[204 155]]

 [[205 154]]

 [[204 153]]

 [[203 152]]

 [[202 151]]

 [[201 151]]

 [[200 150]]

 [[199 150]]

 [[198 150]]

 [[197 150]]

 [[196 149]]

 [[195 149]]

 [[194 148]]

 [[193 148]]

 [[192 147]]

 [[191 146]]

 [[190 146]]

 [[189 146]]

 [[188 146]]]",13,194.75,150.5,23.96249008178711,20.20539093017578,5.787474155426025,116.93817780867175,"[[184 149]
 [187 144]
 [205 152]
 [203 157]]",True,6
0,0,209,159,55.5,"[[[212 152]]

 [[211 153]]

 [[210 154]]

 [[209 155]]

 [[208 156]]

 [[208 157]]

 [[208 158]]

 [[207 159]]

 [[207 160]]

 [[206 161]]

 [[205 162]]

 [[205 163]]

 [[205 164]]

 [[206 165]]

 [[207 165]]

 [[208 165]]

 [[209 165]]

 [[210 164]]

 [[210 163]]

 [[211 162]]

 [[211 161]]

 [[212 160]]

 [[212 159]]

 [[212 158]]

 [[213 157]]

 [[213 156]]

 [[213 155]]

 [[213 154]]

 [[213 153]]]",14,209.25,158.5,26.56505012512207,14.310833930969238,5.366562843322754,76.79998963090202,"[[204 164]
 [210 151]
 [215 153]
 [208 166]]",True,6
0,0,205,206,83.0,"[[[204 196]]

 [[203 197]]

 [[203 198]]

 [[203 199]]

 [[203 200]]

 [[203 201]]

 [[203 202]]

 [[203 203]]

 [[204 204]]

 [[204 205]]

 [[204 206]]

 [[204 207]]

 [[204 208]]

 [[204 209]]

 [[204 210]]

 [[204 211]]

 [[204 212]]

 [[204 213]]

 [[204 214]]

 [[205 215]]

 [[206 216]]

 [[207 216]]

 [[208 216]]

 [[209 215]]

 [[209 214]]

 [[209 213]]

 [[209 212]]

 [[209 211]]

 [[209 210]]

 [[208 209]]

 [[208 208]]

 [[208 207]]

 [[208 206]]

 [[208 205]]

 [[208 204]]

 [[207 203]]

 [[207 202]]

 [[207 201]]

 [[207 200]]

 [[207 199]]

 [[207 198]]

 [[207 197]]

 [[206 196]]

 [[205 196]]]",15,205.5,205.5,84.80557250976562,20.280006408691406,5.341609001159668,108.32786477624177,"[[202 196]
 [207 195]
 [209 215]
 [204 216]]",True,6
0,0,229,210,94.5,"[[[229 198]]

 [[228 199]]

 [[227 200]]

 [[227 201]]

 [[227 202]]

 [[227 203]]

 [[227 204]]

 [[227 205]]

 [[227 206]]

 [[227 207]]

 [[227 208]]

 [[227 209]]

 [[227 210]]

 [[227 211]]

 [[227 212]]

 [[227 213]]

 [[227 214]]

 [[227 215]]

 [[227 216]]

 [[227 217]]

 [[227 218]]

 [[227 219]]

 [[227 220]]

 [[228 221]]

 [[228 222]]

 [[229 223]]

 [[230 223]]

 [[231 222]]

 [[231 221]]

 [[231 220]]

 [[231 219]]

 [[231 218]]

 [[231 217]]

 [[231 216]]

 [[231 215]]

 [[231 214]]

 [[231 213]]

 [[231 212]]

 [[231 211]]

 [[231 210]]

 [[231 209]]

 [[231 208]]

 [[231 207]]

 [[231 206]]

 [[231 205]]

 [[231 204]]

 [[231 203]]

 [[231 202]]

 [[231 201]]

 [[231 200]]

 [[231 199]]

 [[231 198]]

 [[230 198]]]",16,229.0,210.5,90.0,25.0,4.0,100.0,"[[227 198]
 [231 198]
 [231 223]
 [227 223]]",True,6
0,0,65,96,73.5,"[[[ 70  93]]

 [[ 69  94]]

 [[ 68  94]]

 [[ 67  94]]

 [[ 66  94]]

 [[ 65  94]]

 [[ 64  94]]

 [[ 63  94]]

 [[ 62  94]]

 [[ 61  95]]

 [[ 60  95]]

 [[ 59  95]]

 [[ 58  96]]

 [[ 58  97]]

 [[ 58  98]]

 [[ 58  99]]

 [[ 59 100]]

 [[ 60 100]]

 [[ 61 100]]

 [[ 62 100]]

 [[ 63 100]]

 [[ 64  99]]

 [[ 65  99]]

 [[ 66  98]]

 [[ 67  98]]

 [[ 68  98]]

 [[ 69  97]]

 [[ 70  97]]

 [[ 71  97]]

 [[ 72  97]]

 [[ 73  97]]

 [[ 74  96]]

 [[ 75  96]]

 [[ 75  95]]

 [[ 75  94]]

 [[ 74  93]]

 [[ 73  93]]

 [[ 72  93]]

 [[ 71  93]]]",17,66.0,96.0,82.87498474121094,17.4888973236084,6.077701568603516,106.29229869684059,"[[ 57  94]
 [ 74  92]
 [ 75  98]
 [ 58 100]]",True,6
1,1,177,83,67.5,"[[[181  74]]

 [[180  75]]

 [[180  76]]

 [[179  77]]

 [[179  78]]

 [[178  79]]

 [[177  80]]

 [[177  81]]

 [[176  82]]

 [[175  83]]

 [[174  84]]

 [[174  85]]

 [[173  86]]

 [[172  87]]

 [[172  88]]

 [[172  89]]

 [[172  90]]

 [[173  91]]

 [[174  91]]

 [[175  91]]

 [[176  91]]

 [[177  90]]

 [[177  89]]

 [[177  88]]

 [[178  87]]

 [[178  86]]

 [[178  85]]

 [[179  84]]

 [[179  83]]

 [[179  82]]

 [[180  81]]

 [[180  80]]

 [[181  79]]

 [[182  78]]

 [[183  77]]

 [[183  76]]

 [[184  75]]

 [[183  74]]

 [[182  74]]]",6,176.75,81.75,25.016895294189453,19.633968353271484,5.799571514129639,113.86860357095611,"[[170  89]
 [178  72]
 [184  74]
 [175  92]]",True,6
1,1,83,70,107.5,"[[[88 55]]

 [[87 56]]

 [[86 57]]

 [[86 58]]

 [[86 59]]

 [[85 60]]

 [[85 61]]

 [[84 62]]

 [[84 63]]

 [[83 64]]

 [[83 65]]

 [[82 66]]

 [[82 67]]

 [[82 68]]

 [[82 69]]

 [[82 70]]

 [[82 71]]

 [[81 72]]

 [[80 73]]

 [[80 74]]

 [[79 75]]

 [[79 76]]

 [[79 77]]

 [[78 78]]

 [[78 79]]

 [[78 80]]

 [[78 81]]

 [[78 82]]

 [[78 83]]

 [[78 84]]

 [[78 85]]

 [[79 86]]

 [[80 86]]

 [[81 86]]

 [[82 85]]

 [[82 84]]

 [[82 83]]

 [[82 82]]

 [[82 81]]

 [[82 80]]

 [[82 79]]

 [[83 78]]

 [[83 77]]

 [[83 76]]

 [[83 75]]

 [[83 74]]

 [[83 73]]

 [[83 72]]

 [[83 71]]

 [[84 70]]

 [[84 69]]

 [[85 68]]

 [[86 67]]

 [[86 66]]

 [[86 65]]

 [[87 64]]

 [[88 63]]

 [[88 62]]

 [[88 61]]

 [[89 60]]

 [[90 59]]

 [[90 58]]

 [[90 57]]

 [[90 56]]

 [[89 55]]]",5,83.0,69.75,17.10272979736328,32.570011138916016,5.881717681884766,191.5676104149461,"[[75 85]
 [85 53]
 [91 55]
 [81 86]]",False,6
