frame,frame,x,y,r,particle,neighbours
1,1,651.5,120.5,62.4,47,"[37, 55, 26, 49, 58]"
1,1,545.5,776.5,43.6,71,"[46, 42]"
1,1,481.5,497.5,51.5,35,"[53, 23, 28, 29, 6, 69]"
1,1,927.5,405.5,62.4,12,"[10, 39, 7, 1, 30]"
1,1,337.5,344.5,52.5,86,"[61, 45, 53, 41]"
1,1,710.5,251.5,59.1,55,"[37, 50, 47, 38, 48, 58]"
1,1,845.5,785.5,42.3,62,"[19, 44, 66]"
1,1,194.5,227.5,62.4,34,"[83, 61, 5, 45]"
1,1,765.5,515.5,60.2,65,"[87, 51, 66, 13, 30]"
1,1,672.5,573.5,59.1,87,"[66, 65, 51, 6, 29]"
1,1,878.5,191.5,44.8,52,"[67, 72, 37, 50, 10]"
1,1,848.5,571.5,42.4,13,"[66, 65, 7, 30]"
1,1,212.5,336.5,58.0,61,"[86, 21, 34, 45]"
1,1,528.5,307.5,62.4,63,"[48, 28, 53, 60, 58, 41]"
1,1,671.5,449.5,51.2,51,"[65, 87, 28, 48, 29, 38]"
1,1,945.5,117.5,54.7,67,"[52, 68, 72]"
1,1,500.5,199.5,59.1,60,"[49, 40, 43, 58, 63, 41]"
1,1,1033.5,415.5,43.5,39,"[8, 12, 7]"
1,1,443.5,607.5,46.3,69,"[25, 6, 35, 23, 31]"
2,2,1017.5,497.5,56.8,8,"[7, 39]"
2,2,912.5,308.5,44.5,10,"[52, 50, 1, 12]"
2,2,692.5,667.5,58.0,89,"[44, 66, 42, 87]"
2,2,926.5,403.5,62.4,12,"[1, 10, 39, 7, 30]"
2,2,838.5,777.5,52.3,91,"[56, 66, 44, 98]"
2,2,1042.5,95.5,45.7,14,"[68, 67]"
2,2,742.5,95.5,52.5,26,"[37, 100, 47]"
2,2,235.5,616.5,54.7,18,"[22, 31, 54]"
2,2,338.5,345.5,53.6,86,"[61, 45, 41]"
2,2,394.5,179.5,55.8,43,"[5, 94, 40, 45, 41, 60]"
2,2,274.5,779.5,52.2,74,[97]
2,2,880.5,188.5,48.1,52,"[10, 50, 67, 100, 37]"
2,2,589.5,516.5,60.2,29,"[87, 6, 51, 28, 35]"
2,2,836.5,377.5,56.9,1,"[10, 50, 12, 30, 38]"
2,2,498.5,202.5,56.9,60,"[40, 49, 63, 41, 43, 58]"
2,2,593.5,859.5,57.5,93,"[71, 42]"
2,2,341.5,73.5,53.3,94,"[5, 83, 40, 43]"
2,2,185.5,530.5,44.8,22,"[18, 54, 21]"
2,2,187.5,435.5,43.5,21,"[54, 22, 61]"
2,2,388.5,526.5,53.5,23,"[54, 31, 69, 35]"
2,2,553.5,414.5,58.0,28,"[63, 48, 51, 29, 35]"
2,2,201.5,98.5,54.7,83,"[94, 5, 34]"
2,2,360.5,788.5,43.0,97,"[74, 46]"
2,2,345.5,602.5,44.4,31,"[18, 54, 69, 23]"
2,2,846.5,476.5,45.7,30,"[12, 7, 1, 65]"
2,2,935.5,495.5,55.6,7,"[8, 39, 12, 30]"
2,2,929.5,778.5,42.3,98,"[56, 91, 75, 57]"
2,2,897.5,680.5,46.3,56,"[91, 66, 57, 98]"
2,2,849.5,94.5,59.0,100,"[67, 52, 37, 26]"
2,2,439.5,85.5,53.5,40,"[94, 49, 60, 43]"
2,2,992.5,686.5,62.4,57,"[56, 75, 98]"
2,2,628.5,329.5,50.9,48,"[28, 63, 51, 58, 55, 38]"
2,2,676.5,455.5,59.1,51,"[28, 48, 38, 87, 29, 65]"
2,2,415.5,283.5,59.1,41,"[63, 60, 43, 45, 86]"
2,2,649.5,114.5,55.8,47,"[58, 49, 37, 26]"
2,2,441.5,607.5,44.9,69,"[6, 31, 23, 35]"
2,2,482.5,498.5,51.2,35,"[23, 29, 28, 6, 69]"
2,2,744.5,757.5,53.3,44,"[91, 66, 89, 42]"
2,2,707.5,253.5,59.1,55,"[58, 48, 37, 50, 38]"
2,2,289.5,513.5,49.2,54,"[18, 22, 31, 21, 23]"
2,2,643.5,776.5,52.4,42,"[44, 89, 71, 93]"
2,2,805.5,275.5,55.8,50,"[52, 10, 1, 37, 55, 38]"
2,2,211.5,337.5,59.0,61,"[34, 45, 21, 86]"
2,2,312.5,253.5,53.6,45,"[61, 34, 5, 43, 41, 86]"
2,2,1016.5,779.5,43.3,75,"[57, 98]"
2,2,541.5,92.5,62.4,49,"[40, 60, 58, 47]"
2,2,545.5,776.5,43.5,71,"[46, 93, 42]"
2,2,1031.5,416.5,44.4,39,"[8, 7, 12]"
2,2,193.5,222.5,53.3,34,"[61, 45, 5, 83]"
2,2,604.5,223.5,62.4,58,"[55, 48, 63, 60, 47, 49]"
2,2,945.5,121.5,58.0,67,"[68, 14, 52, 100]"
2,2,769.5,519.5,55.8,65,"[87, 51, 66, 30]"
2,2,730.5,358.5,59.1,38,"[55, 50, 1, 48, 51]"
2,2,538.5,597.5,40.0,6,"[69, 87, 29, 35]"
2,2,1038.5,194.5,44.6,68,"[14, 67]"
2,2,523.5,307.5,49.2,63,"[41, 60, 28, 48, 58]"
2,2,771.5,175.5,43.5,37,"[55, 47, 52, 100, 50, 26]"
2,2,794.5,653.5,62.4,66,"[56, 91, 44, 89, 87, 65]"
2,2,454.5,782.5,43.5,46,"[71, 97]"
2,2,671.5,574.5,49.9,87,"[89, 6, 66, 29, 51, 65]"
2,2,283.5,160.5,61.3,5,"[94, 83, 34, 45, 43]"
3,3,829.5,376.5,62.4,1,"[10, 12, 50, 38, 30]"
3,3,731.5,354.5,62.4,38,"[48, 55, 50, 1, 51]"
3,3,742.5,93.5,51.2,26,"[37, 47, 72]"
3,3,537.5,597.5,39.6,6,"[69, 64, 87, 29, 35]"
3,3,235.5,615.5,54.4,18,"[31, 54, 22]"
3,3,523.5,305.5,58.0,63,"[48, 28, 58, 41, 60, 53]"
3,3,911.5,309.5,44.4,10,"[1, 12, 50]"
3,3,192.5,222.5,53.2,34,"[61, 45, 5, 83]"
3,3,928.5,779.5,41.6,98,"[62, 57, 75]"
3,3,587.5,672.5,53.6,64,"[71, 87, 42, 6]"
3,3,586.5,513.5,58.0,29,"[28, 51, 87, 35, 6]"
3,3,592.5,856.5,42.9,93,"[71, 42]"
3,3,793.5,864.5,51.1,19,"[44, 62]"
3,3,341.5,73.5,53.3,94,"[5, 83, 43, 40]"
3,3,189.5,436.5,41.3,21,"[61, 22, 54]"
3,3,184.5,531.5,45.4,22,"[21, 54, 18]"
3,3,555.5,410.5,58.0,28,"[29, 51, 48, 63, 35, 53]"
3,3,339.5,606.5,45.8,31,"[18, 54, 69]"
3,3,199.5,98.5,55.7,83,"[94, 5, 34]"
3,3,845.5,477.5,45.7,30,"[13, 7, 12, 1, 65]"
