frame,frame,y,x,mass,size,ecc,signal,raw_mass,ep,particle,user_rad
0,0,180.0,176.22391304347826,1653.505426421052,1.6041160823946319,0.0053925455965929394,142.58488822036608,4845.0,0.0,2,6
0,0,181.30438344940598,16.676771814829987,1462.3937485122422,1.6103414260330626,0.11181972910046807,140.18850354439354,4080.0,0.0,3,6
0,0,189.2520226537217,306.4437702265372,1480.9657297510294,1.575756868535836,0.06931255409838584,143.1839843893592,4080.0,0.0,6,6
0,0,196.26349390597795,43.788740568775395,1032.2426991751713,1.357253038174665,0.1452549414783695,138.39121503741413,2550.0,0.0,7,6
0,0,176.16853526220615,295.8285714285714,1656.5009072660177,1.606721865696441,0.13001220200652877,142.58488822036608,4845.0,0.0,10,6
0,0,211.58027079303676,270.8889748549323,1548.6635968472535,1.5862074765324208,0.21878427302198622,143.78308055835237,4335.0,0.0,11,6
0,0,223.56007393715342,9.49029574861368,1296.4441097011438,1.5413283754000342,0.2146319699527301,138.39121503741413,3825.0,0.0,13,6
0,0,255.1916252661462,137.88928317955998,844.126502111327,1.3256223681280714,0.16066509844260932,127.60748399553772,2040.0,0.0,17,6
0,0,259.3703520079326,278.1963311849281,1208.3769728591528,1.4259094115599387,0.04897146914204009,144.3821767273455,3315.0,0.0,18,6
0,0,287.10987703292346,119.88575961919874,1510.3214420316929,1.7674163099096682,0.30111959945708644,121.01742613661324,4335.0,0.0,20,6
0,0,164.0511166253102,125.18014888337468,1207.1787805211666,1.657526633554625,0.31783487574357366,121.01742613661324,3060.0,0.0,24,6
0,0,168.33555093555094,114.26361746361746,1440.8262864284893,1.5258002910166613,0.06263997636637961,147.9767537413043,3825.0,0.0,25,6
0,0,48.90277777777778,65.76736111111111,690.1587866800913,1.2997061633735185,0.26723831778162743,113.22917593970249,1530.0,0.0,29,6
0,0,111.93584905660377,220.84603773584905,793.8024239159037,1.5064640594000744,0.26524263318772384,107.83731041876426,2040.0,0.0,36,6
0,0,97.85321100917432,246.44495412844037,1306.0296484050339,1.4670697249898013,0.2431685736986392,149.17494607929058,3315.0,0.0,37,6
0,0,146.0,75.0,1044.2246225550339,1.2710646239494987,0.17137096762676676,152.76952309324938,2295.0,0.0,38,6
0,0,142.8950508950509,223.93681993681994,1706.824985461441,1.6249848124138393,0.13969042205218896,140.78759971338667,5100.0,0.0,39,6
0,0,138.88558139534885,151.94697674418606,1288.0567633352398,1.4386686351833995,0.1782779798811004,146.77856140331804,3570.0,0.0,40,6
0,0,157.17251908396946,53.82748091603054,1177.22397207151,1.3591645390734741,0.14845234853761347,152.17042692425625,2805.0,0.0,41,6
0,0,127.71109200343938,50.83319002579535,696.7488445390157,1.4425066555890633,0.2853770396077991,91.66171385594963,1530.0,0.0,43,6
0,0,122.65338427947599,188.89082969432314,1097.544181595423,1.3712981132065496,0.05247772596904374,140.18850354439354,2805.0,0.0,44,6
0,0,138.58147429679923,82.23908826382153,1235.336300463844,1.4444112839918508,0.13387182390182978,148.57584991029742,3060.0,0.0,45,6
1,1,181.99649122807017,17.371491228070177,1370.343232479278,1.5583673417810784,0.1955473410813321,138.23637871501487,3570.0,0.0,3,6
1,1,189.8712265953382,306.2888803974016,1572.8895786834519,1.5824070992452255,0.06593743229025255,144.2466560504503,4590.0,0.0,6,6
1,1,179.501593625498,176.0,1508.5796111942927,1.5618713874950452,0.16956329943998089,146.04973925108092,4080.0,0.0,2,6
1,1,198.39111434814276,44.92352512745812,825.2110781552844,1.3924152045875169,0.18335158796936754,117.80143577453441,1785.0,0.0,7,6
1,1,223.50581395348837,11.267441860465116,1343.898012203362,1.5394339502878154,0.18573726876395394,141.24151738273258,4080.0,0.0,13,6
1,1,253.29145728643215,136.80820770519264,717.6271138509902,1.74577738943639,0.4409668651361586,70.92127255813807,1785.0,0.0,17,6
1,1,259.43549747048905,278.0261382799325,1425.637783965284,1.531980609161403,0.20907613146659884,146.04973925108092,4080.0,0.0,18,6
1,1,285.1431334622824,119.72765957446809,1553.6566912100584,1.728809252443607,0.26476464613254336,131.02404591249237,4335.0,0.0,20,6
1,1,175.89057043073342,297.4194800155219,1548.8484693417101,1.5861008633682943,0.03920128526213522,143.64562831690677,4335.0,0.0,10,6
1,1,209.33828461907044,270.6655486344034,1254.344879905374,1.450674380129253,0.12524041686592607,141.24151738273258,4080.0,0.0,11,6
1,1,168.0,111.50160256410257,1500.1652229246831,1.5622756249155039,0.042768411693536595,145.4487115175374,4080.0,0.0,25,6
1,1,47.024805102764,65.66761162296244,848.050132029939,1.3003842860027102,0.19832352549856538,127.4178795112311,1785.0,0.0,29,6
1,1,97.61648250460405,246.61648250460405,1305.4322372565753,1.468201942142075,0.17822080853397604,149.05487791879864,3315.0,0.0,37,6
1,1,124.42463054187192,189.99556650246305,1220.0862990933922,1.4164758878592671,0.04974353782938548,148.4538501852551,3060.0,0.0,44,6
1,1,126.86817325800376,50.61770244821092,957.4371795348638,1.5855990331055676,0.2994988967410194,107.58396430429418,2295.0,0.0,43,6
1,1,137.60386879730865,82.39613120269134,1429.243950366545,1.5433189798311784,0.1148874242867009,146.04973925108092,3825.0,0.0,45,6
1,1,138.44274809160305,153.77480916030535,1259.754129507266,1.4675237491088426,0.08201908177551455,142.44357284981967,3570.0,0.0,40,6
1,1,144.89001501501502,225.70645645645646,1601.1378821599983,1.5845775102171196,0.07044194762272689,144.2466560504503,4590.0,0.0,39,6
1,1,145.88824884792626,74.32430875576037,1043.3841454315905,1.3429711197830834,0.26534539942607516,143.0446005833632,2295.0,0.0,38,6
